id,cell_group_id,cell_group_name,church_id,name,cell_name,raw_name,member_count
2b3a5652-b8be-4c76-8b64-b84200c8bcd4,a62f461e-e574-4052-8ef3-a4d0ee0c77c4,"Diplomatas",a1111111-1111-4111-8111-111111111101,"Diplomatas Victory","Diplomatas Victory","Diplomatas Victory",16
6c53fbb1-02b5-476d-8088-b8db2ddeaa48,a62f461e-e574-4052-8ef3-a4d0ee0c77c4,"Diplomatas",a1111111-1111-4111-8111-111111111101,"Diplomats Victory B","Diplomats Victory B","Diplomats Victory B",8
7b18298d-f2b5-449d-856e-4ba3aa87b3a6,a62f461e-e574-4052-8ef3-a4d0ee0c77c4,"Diplomatas",a1111111-1111-4111-8111-111111111101,"Diplomats B1","Diplomats B1","Diplomats B1",5
35b19747-4375-4c1e-8373-7f7f955fbd3a,a62f461e-e574-4052-8ef3-a4d0ee0c77c4,"Diplomatas",a1111111-1111-4111-8111-111111111101,"Diplomats koinonia","Diplomats koinonia","Diplomats koinonia",7
43b00e27-c304-4f33-8ca1-2e0666e15ccf,a62f461e-e574-4052-8ef3-a4d0ee0c77c4,"Diplomatas",a1111111-1111-4111-8111-111111111101,"Diplomata Graca Abundante","Diplomata Graca Abundante","Diplomata Graca Abundante",8
00641d4c-079e-44b0-87bf-9c8fd813279c,a62f461e-e574-4052-8ef3-a4d0ee0c77c4,"Diplomatas",a1111111-1111-4111-8111-111111111101,"Diplomatas The Chosen","Diplomatas The Chosen","Diplomatas The Chosen",15
91ef61d7-879d-4743-8ee9-1cdfa9f8e0d0,a62f461e-e574-4052-8ef3-a4d0ee0c77c4,"Diplomatas",a1111111-1111-4111-8111-111111111101,"Diplomatas Jireh A","Diplomatas Jireh A","Diplomatas Jireh A",8
7d93f13e-c274-44a6-8577-a29c179bb99e,217d9a73-3d57-4979-854d-dc97662a55e5,"Estrelas de Siao",a1111111-1111-4111-8111-111111111101,"ESTRELAS DE SIÃO","ESTRELAS DE SIÃO","ESTRELAS DE SIÃO",9
fb65bfec-2c8b-46b1-8b21-7d6b93e20f6b,217d9a73-3d57-4979-854d-dc97662a55e5,"Estrelas de Siao",a1111111-1111-4111-8111-111111111101,"ESTRELAS DE SIÃO A","ESTRELAS DE SIÃO A","ESTRELAS DE SIÃO A",8
601b3fd7-ea6c-457a-8d6a-fca1fcd9c594,217d9a73-3d57-4979-854d-dc97662a55e5,"Estrelas de Siao",a1111111-1111-4111-8111-111111111101,"ESTRELAS DE SIÃO B","ESTRELAS DE SIÃO B","ESTRELAS DE SIÃO B",6
96fa52e0-fef6-481b-89f1-c3aee476690a,217d9a73-3d57-4979-854d-dc97662a55e5,"Estrelas de Siao",a1111111-1111-4111-8111-111111111101,"ESTRELAS DE SIÃO C","ESTRELAS DE SIÃO C","ESTRELAS DE SIÃO C",5
